BELNR,WAERS,BUKRS,KTOSL,PRCTR,BSCHL,HKONT,DMBTR,WRBTR,label
445477,C7,C78,C1,C10,A3,B1,1000025.86,1881,regular
467901,C1,C15,C2,C26,A1,B3,773607.81,0,regular
136127,C1,C16,C9,C90,A1,B1,216826.83,231616,regular
153221,C1,C19,C6,C66,A1,B2,59410.82,0,regular
453407,C1,C10,C3,C35,A1,B2,354457.83,287,regular
131068,C1,C10,C1,C16,A1,B1,117750.8,0,regular
143159,C1,C12,C1,C18,A1,B1,398682.15,7183,regular
488666,C1,C11,C1,C16,A1,B1,425582.81,0,regular
449690,C5,C58,C4,C48,A3,B3,444746.75,12290,regular
32612,C1,C10,C4,C45,A1,B3,529032.78,263,regular
461226,C7,C71,C1,C19,A3,B1,768321.15,0,regular
382730,C1,C14,C1,C16,A1,B1,401155.99,0,regular
171003,C2,C25,C6,C65,A1,B2,816882.88,0,regular
496087,C1,C18,C8,C85,A1,B3,118787.96,5625,regular
275889,C1,C19,C5,C56,A1,B1,215151.66,0,regular
188574,C7,C79,C1,C14,A3,B1,508977.21,25847.39,regular
264257,C6,C63,C1,C11,A2,B1,147315.3,46160.79,regular
31369,C1,C16,C1,C14,A1,B1,277750.99,0,regular
163773,C1,C14,C1,C13,A1,B1,494301.04,70506.92,regular
134166,C1,C16,C2,C20,A1,B3,288866.31,0,regular
132122,C1,C13,C2,C21,A1,B3,626133.51,0,regular
76207,C1,C18,C6,C64,A1,B2,276667.13,0,regular
202651,C1,C17,C9,C91,A1,B1,33051.21,133039.94,regular
309240,C8,C88,C1,C12,A1,B1,139791,20820,regular
416464,C1,C19,C1,C11,A1,B1,1463436.27,0,regular
471913,C5,C50,C4,C44,A3,B3,867902.94,0,regular
51087,C1,C19,C1,C10,A1,B1,370415.6,0,regular
224055,C3,C31,C7,C72,A3,B2,40593.53,178714,regular
205780,C3,C39,C5,C53,A3,B1,1268362.54,229041.13,regular
126873,C1,C10,C3,C36,A1,B2,777757.49,0,regular
388668,C1,C15,C1,C16,A1,B1,55903.91,0,regular
41122,C1,C19,C1,C10,A1,B1,303328.88,0,regular
256791,C8,C83,C1,C10,A1,B1,453411.41,0,regular
130629,C1,C17,C2,C20,A1,B3,212284.94,0,regular
528088,C1,C16,C7,C73,A1,B2,1217255.6,280758.84,regular
91100,C2,C25,C1,C19,A1,B1,452582.48,30026,regular
468120,C1,C10,C4,C41,A1,B3,537386.13,0,regular
140638,C6,C60,C1,C19,A2,B1,367725.16,0,regular
477640,C3,C39,C1,C17,A3,B1,868755.25,0,regular
142099,C1,C19,C1,C10,A1,B1,1286213.92,0,regular
393386,C1,C10,C1,C16,A1,B1,380443.89,20823.32,regular
344056,C1,C19,C2,C24,A1,B3,10000000,37363,regular
66480,C1,C12,C7,C75,A1,B2,1159115.07,30085,regular
386847,C3,C35,C2,C20,A3,B3,728740.56,0,regular
392568,C9,C96,C4,C46,A2,B3,164161.87,0,regular
84043,C1,C16,C1,C17,A1,B1,1050290.83,0,regular
323925,C6,C68,C1,C16,A2,B1,60642003,0,regular
389577,C1,C11,C4,C41,A1,B3,800300.34,0,regular
120029,C4,C40,C1,C13,A2,B1,1773079.73,0,regular
170705,C9,C94,C1,C10,A2,B1,2291371.95,16019,regular
202483,C1,C19,C2,C20,A1,B3,178041.98,0,regular
230048,C1,C14,C5,C53,A1,B1,744340.63,0,regular
369794,C3,C30,C4,C40,A3,B3,84936.38,0,regular
81533,C1,C17,C6,C67,A1,B2,353373.85,20446,regular
508237,C2,C21,C1,C14,A1,B1,314459.54,0,regular
82237,C1,C18,C1,C13,A1,B1,1293867.2,0,regular
111322,C2,C26,C6,C68,A1,B2,109470.93,0,regular
470249,C5,C59,C7,C73,A3,B2,598323.51,8523,regular
123496,C3,C31,C8,C82,A3,B3,210703.75,21907,regular
527854,C1,C15,C1,C11,A1,B1,30083.18,156268,regular
134605,C7,C70,C5,C52,A3,B1,757901.01,246,regular
510925,C1,C18,C1,C10,A1,B1,333715.68,0,regular
184865,C1,C15,C1,C12,A1,B1,83202.55,0,regular
31142,C1,C12,C1,C11,A1,B1,569196.03,0,regular
201657,C1,C10,C1,C18,A1,B1,281187.62,0,regular
411040,C1,C17,C4,C41,A1,B3,2123326.9,0,regular
388505,C1,C16,C8,C83,A1,B3,415005.62,531385,regular
171307,C2,C20,C8,C81,A1,B3,802968.86,117897,regular
496897,C2,C20,C3,C34,A1,B2,306953.04,30433,regular
343399,C1,C14,C1,C17,A1,B1,3084313.26,0,regular
120497,C6,C62,C2,C25,A2,B3,448305.87,20660,regular
3343,C1,C18,C1,C16,A1,B1,376786.71,5018170.12,regular
73775,C2,C21,C9,C94,A1,B1,384736.85,224849,regular
978,C1,C12,C4,C45,A1,B3,2301415.25,0,regular
351629,C9,C93,C1,C12,A2,B1,374334.84,0,regular
228376,C8,C83,C1,C16,A1,B1,97145.53,0,regular
525216,C1,C18,C1,C15,A1,B1,480629.75,0,regular
244721,C2,C29,C1,C10,A1,B1,1657669.77,133114,regular
123592,C1,C17,C1,C18,A1,B1,1188507.19,60327.81,regular
169814,C2,C28,C1,C19,A1,B1,161991.08,20444,regular
35099,C3,C33,C1,C14,A3,B1,960137.21,0,regular
93315,C1,C10,C4,C41,A1,B3,4631484.43,0,regular
318385,C1,C15,C4,C44,A1,B3,1239633.77,0,regular
212992,C1,C13,C2,C20,A1,B3,224243.52,11132,regular
219465,C1,C17,C6,C65,A1,B2,355218.4,1942,regular
120183,C1,C14,C1,C18,A1,B1,1816.01,0,regular
142673,C1,C13,C1,C15,A1,B1,1185032.61,0,regular
481327,C1,C17,C1,C14,A1,B1,768957.91,0,regular
151152,C1,C17,C7,C79,A1,B2,55570.88,0,regular
101178,C1,C12,C9,C93,A1,B1,614128.31,0,regular
174293,C1,C18,C1,C10,A1,B1,64185.66,0,regular
169258,C3,C32,C1,C11,A3,B1,92567.69,253,regular
319465,C2,C29,C1,C15,A1,B1,69694.38,10571,regular
75503,C5,C55,C8,C86,A3,B3,145350.62,0,regular
80863,C1,C18,C1,C17,A1,B1,321356.02,0,regular
350384,C4,C43,C1,C11,A2,B1,786771.76,213343,regular
189114,C3,C31,C1,C18,A3,B1,391357.26,0,regular
249121,C2,C20,C1,C12,A1,B1,126753,11242,regular
353222,C1,C16,C4,C44,A1,B3,666906.54,280786.16,regular
76225,C1,C12,C1,C14,A1,B1,450357.32,148661,regular
305648,C2,C20,C7,C72,A1,B2,160393.52,0,regular
368721,C2,C22,C3,C32,A1,B2,1809049.24,98975,regular
308167,C1,C18,C1,C12,A1,B1,186618.92,11208,regular
314668,C1,C14,C1,C15,A1,B1,108034.06,117157,regular
247867,C1,C10,C4,C45,A1,B3,824780.89,5532,regular
142007,C6,C66,C4,C47,A2,B3,125665.24,1594,regular
191444,C1,C15,C1,C11,A1,B1,399668.24,64756,regular
218068,C5,C53,C1,C10,A3,B1,411461.5,0,regular
439523,C1,C18,C1,C13,A1,B1,925435.46,0,regular
382801,C7,C75,C2,C20,A3,B3,240066.22,0,regular
151173,C1,C15,C3,C36,A1,B2,630146.5,0,regular
364248,C1,C19,C1,C13,A1,B1,228313.29,0,regular
394997,C1,C14,C1,C19,A1,B1,869712.14,0,regular
263770,C1,C17,C1,C17,A1,B1,222958.55,0,regular
60554,C1,C15,C1,C19,A1,B1,1286857.69,0,regular
103753,C1,C15,C1,C18,A1,B1,22944.69,0,regular
393339,C1,C14,C1,C14,A1,B1,277151.5,20247,regular
505572,C1,C17,C2,C20,A1,B3,134011.57,0,regular
257711,C1,C17,C7,C77,A1,B2,396514.55,0,regular
349459,C2,C20,C2,C20,A1,B3,10000000,0,regular
525984,C3,C34,C1,C14,A3,B1,2140888.35,2140888.35,regular
81661,C2,C21,C1,C10,A1,B1,20845.96,236708.55,regular
249872,C1,C17,C1,C10,A1,B1,177127.78,12667,regular
55817,C1,C19,C1,C12,A1,B1,856154.37,0,regular
324998,C1,C18,C1,C16,A1,B1,239029.73,5186,regular
279114,C5,C54,C4,C41,A3,B3,195517.87,0,regular
143630,C2,C21,C1,C10,A1,B1,434077.36,20551,regular
277099,C1,C14,C2,C21,A1,B3,2998756.59,96,regular
484909,C3,C30,C4,C45,A3,B3,835242.32,0,regular
378022,C1,C17,C9,C95,A1,B1,6599002.07,0,regular
403100,C9,C91,C4,C44,A2,B3,2698319.64,31548,regular
199921,C4,C42,C7,C74,A2,B2,82192.56,0,regular
200898,C9,C97,C1,C13,A2,B1,812208.73,0,regular
433037,C1,C12,C1,C15,A1,B1,681799.57,0,regular
312718,C9,C90,C1,C15,A2,B1,155058.62,0,regular
206808,C3,C33,C1,C10,A3,B1,491253.46,49361,regular
219999,C1,C16,C4,C47,A1,B3,85476.41,0,regular
146288,C8,C83,C6,C69,A1,B2,447184.94,0,regular
248763,C3,C36,C8,C81,A3,B3,211939.47,0,regular
163054,C1,C14,C5,C50,A1,B1,1277455.96,0,regular
301564,C1,C19,C6,C65,A1,B2,263966.93,0,regular
137569,C1,C14,C1,C10,A1,B1,368233.86,0,regular
185986,C1,C10,C1,C14,A1,B1,120172.15,0,regular
209590,C2,C20,C4,C44,A1,B3,204673.58,0,regular
172867,C8,C84,C1,C14,A1,B1,118519.25,0,regular
388295,C8,C87,C4,C41,A1,B3,508843.79,0,regular
183156,C1,C16,C1,C10,A1,B1,1068.38,95691,regular
200497,C1,C14,C1,C12,A1,B1,1001808.62,0,regular
226652,C6,C61,C1,C19,A2,B1,845272.18,111597,regular
39461,C1,C10,C5,C55,A1,B1,84923.92,0,regular
35297,C6,C62,C9,C93,A2,B1,151116.29,0,regular
148374,C5,C56,C1,C16,A3,B1,270118.3,0,regular
530251,C5,C50,C1,C17,A3,B1,100519.75,11866,regular
430247,C2,C20,C1,C18,A1,B1,60138.87,6051,regular
432927,C1,C14,C1,C15,A1,B1,965307.71,20650,regular
312921,C2,C20,C5,C55,A1,B1,149179.94,51117.33,regular
188254,C7,C76,C1,C14,A3,B1,1196353.61,660,regular
417977,C1,C12,C1,C17,A1,B1,1170431.4,0,regular
265058,C8,C84,C4,C48,A1,B3,486880.06,0,regular
483540,C2,C20,C4,C46,A1,B3,755533.39,236,regular
301598,C5,C56,C1,C18,A3,B1,483770.13,30394,regular
192049,C1,C14,C5,C53,A1,B1,765536.47,11014,regular
209275,C1,C15,C1,C18,A1,B1,2203585.13,20874,regular
412367,C1,C19,C1,C17,A1,B1,683198.47,0,regular
373648,C8,C81,C1,C17,A1,B1,416161.62,0,regular
427881,C3,C39,C1,C17,A3,B1,223820.05,12248,regular
73927,C9,C96,C1,C18,A2,B1,592420.36,0,regular
370673,C1,C15,C8,C80,A1,B3,772825.65,0,regular
410929,C2,C21,C1,C17,A1,B1,1090623.9,230061,regular
129565,C7,C74,C1,C17,A3,B1,2821893.42,25429,regular
532603,C1,C13,C5,C51,A1,B1,279416.75,10584,regular
488057,C1,C18,C2,C24,A1,B3,1710209.25,238221,regular
357159,C2,C26,C1,C19,A1,B1,358635.57,0,regular
109063,C1,C13,C1,C15,A1,B1,120630.44,0,regular
93494,C1,C12,C4,C47,A1,B3,630956.7,95890.34,regular
486942,C3,C30,C1,C14,A3,B1,816048.74,0,regular
488153,C1,C10,C2,C21,A1,B3,1251427.97,0,regular
177992,C6,C65,C2,C22,A2,B3,428695.45,0,regular
432467,C2,C21,C6,C63,A1,B2,609755.65,100816,regular
60092,C5,C57,C1,C15,A3,B1,275889.23,179188.6,regular
11178,C7,C70,C1,C13,A3,B1,472187.03,0,regular
375379,C2,C20,C1,C12,A1,B1,3526685.96,21370,regular
496845,C2,C26,C8,C86,A1,B3,1278812.86,20034.99,regular
131677,C3,C36,C9,C90,A3,B1,1967271.22,16547,regular
185326,C5,C53,C1,C11,A3,B1,32466.33,49786,regular
67875,C1,C10,C2,C20,A1,B3,107147.01,0,regular
307339,C4,C40,C1,C10,A2,B1,694613.24,81626,regular
101434,C1,C13,C9,C96,A1,B1,987154.95,0,regular
316656,C2,C21,C7,C73,A1,B2,238423.12,0,regular
107949,C7,C73,C6,C65,A3,B2,1304154.53,9009,regular
351696,C1,C19,C7,C78,A1,B2,48726.25,0,regular
95599,C1,C13,C1,C15,A1,B1,612246.62,0,regular
295750,C5,C57,C1,C13,A3,B1,113554.05,0,regular
22436,C1,C12,C1,C12,A1,B1,198874.32,90109,regular
49180,C1,C14,C5,C58,A1,B1,1519498.05,473488.06,regular
376017,C5,C58,C6,C67,A3,B2,536606.55,0,regular
478344,C1,C14,C8,C88,A1,B3,847304.97,0,regular
418700,C1,C11,C1,C19,A1,B1,271982.15,0,regular
476699,C1,C15,C9,C97,A1,B1,1239329.37,5032,regular
418221,C1,C10,C1,C11,A1,B1,471071.81,0,regular
351660,C7,C77,C1,C14,A3,B1,588586.08,87892,regular
274865,C5,C57,C1,C13,A3,B1,184146.05,0,regular
83279,C3,C36,C1,C19,A3,B1,396447.32,0,regular
34543,C1,C18,C1,C14,A1,B1,111101.12,20929,regular
529980,C6,C64,C1,C11,A2,B1,205084.2,13,regular
206025,C1,C15,C7,C75,A1,B2,530277.45,0,regular
44144,C1,C11,C1,C19,A1,B1,644351.45,0,regular
98048,C5,C52,C1,C15,A3,B1,572930.6,0,regular
486774,C4,C41,C5,C54,A2,B1,24120.6,0,regular
298739,C1,C13,C1,C12,A1,B1,19861.81,0,regular
167976,C2,C21,C7,C72,A1,B2,499268.25,271,regular
2529,C1,C10,C2,C20,A1,B3,2452427.82,53202,regular
503320,C1,C17,C3,C31,A1,B2,97303.84,0,regular
52913,C1,C15,C1,C13,A1,B1,341638.86,0,regular
399332,C1,C11,C3,C35,A1,B2,663659.74,0,regular
475993,C2,C21,C6,C60,A1,B2,243489.17,0,regular
183875,C1,C14,C1,C14,A1,B1,771271.22,181084.56,regular
256999,C1,C11,C1,C18,A1,B1,97988.04,0,regular
385485,C1,C16,C1,C18,A1,B1,439162.64,58621,regular
437007,C6,C67,C1,C16,A2,B1,21235.42,0,regular
220392,C1,C13,C9,C95,A1,B1,3553072.71,0,regular
306478,C1,C18,C1,C12,A1,B1,1236293.1,0,regular
357293,C1,C19,C2,C29,A1,B3,1572109.55,218,regular
58589,C7,C75,C8,C89,A3,B3,294951.31,0,regular
91176,C1,C13,C1,C10,A1,B1,2110640.74,63699.77,regular
226892,C9,C96,C1,C16,A2,B1,819950.57,31024,regular
435222,C9,C92,C1,C19,A2,B1,445903.43,0,regular
217591,C1,C11,C1,C16,A1,B1,37499.26,0,regular
35363,C1,C17,C3,C37,A1,B2,18886.78,0,regular
46482,C1,C12,C1,C16,A1,B1,281514.73,0,regular
485359,C9,C95,C1,C14,A2,B1,810777.21,29574,regular
187377,C1,C12,C4,C48,A1,B3,104865.87,0,regular
356550,C2,C20,C1,C15,A1,B1,423832.67,20784,regular
198322,C1,C11,C1,C11,A1,B1,223598.3,6864,regular
524809,C3,C32,C1,C10,A3,B1,1140221.6,0,regular
413328,C1,C11,C1,C14,A1,B1,4647534.22,0,regular
259923,C5,C50,C9,C98,A3,B1,536974.88,0,regular
277968,C1,C11,C1,C18,A1,B1,26236.64,0,regular
228620,C8,C82,C4,C43,A1,B3,603680.92,0,regular
87728,C1,C15,C4,C49,A1,B3,306833.41,306833.41,regular
154977,C1,C11,C4,C49,A1,B3,210599.57,167384,regular
304639,C1,C11,C2,C20,A1,B3,393263.11,0,regular
226937,C6,C69,C1,C17,A2,B1,438234.84,69861,regular
508051,C8,C84,C1,C12,A1,B1,13864.25,0,regular
83524,C1,C17,C6,C69,A1,B2,35256.36,477152,regular
285851,C7,C76,C1,C13,A3,B1,210226.91,92762.25,regular
147306,C3,C36,C2,C20,A3,B3,542808.25,15505,regular
12100,C1,C13,C1,C16,A1,B1,1262022.34,0,regular
208020,C9,C95,C1,C10,A2,B1,1390368.78,0,regular
371177,C1,C14,C1,C11,A1,B1,1134470.7,60039,regular
330648,C9,C96,C1,C17,A2,B1,1490954.07,0,regular
475588,C1,C16,C3,C33,A1,B2,1382758.41,281531,regular
214900,C1,C16,C9,C97,A1,B1,209035.83,0,regular
377642,C1,C18,C2,C27,A1,B3,10000000,136,regular
426604,C1,C19,C1,C15,A1,B1,261450.92,19037.53,regular
105134,C1,C12,C1,C18,A1,B1,309396.86,0,regular
149430,C2,C21,C2,C29,A1,B3,192980.64,0,regular
179598,C1,C11,C1,C12,A1,B1,813269.27,76045,regular
245023,C2,C20,C1,C14,A1,B1,48408.72,0,regular
63981,C1,C15,C1,C18,A1,B1,15109.57,0,regular
199687,C2,C23,C9,C98,A1,B1,40643.09,522115,regular
202541,C1,C19,C1,C19,A1,B1,619132.51,0,regular
299120,C4,C42,C1,C17,A2,B1,647821,90528,regular
126092,C1,C10,C9,C92,A1,B1,704879.9,265,regular
78686,C9,C96,C5,C59,A2,B1,670995.8,0,regular
498026,C1,C14,C1,C13,A1,B1,4751580.62,0,regular
271820,C4,C45,C6,C63,A2,B2,747401.25,0,regular
137226,C9,C92,C1,C16,A2,B1,24145.42,0,regular
467243,C2,C20,C7,C78,A1,B2,566557.67,0,regular
238217,C2,C20,C1,C13,A1,B1,375155.85,0,regular
368695,C1,C17,C1,C18,A1,B1,268659.37,0,regular
124668,C2,C21,C1,C12,A1,B1,27107.97,0,regular
385970,C1,C11,C1,C18,A1,B1,133908.66,0,regular
425141,C5,C50,C1,C12,A3,B1,1040176.37,0,regular
448545,C2,C22,C1,C11,A1,B1,431812.6,0,regular
26313,C1,C14,C1,C15,A1,B1,462900.63,0,regular
370951,C1,C17,C1,C10,A1,B1,623532.06,0,regular
400703,C9,C92,C2,C23,A2,B3,641021.1,525492.9,regular
418237,C1,C11,C7,C78,A1,B2,424004.18,50402,regular
492632,C7,C75,C8,C83,A3,B3,172243.75,152818,regular
415863,C1,C15,C9,C95,A1,B1,1506711.15,15998,regular
504332,C1,C19,C1,C10,A1,B1,506516.4,0,regular
392232,C1,C19,C1,C16,A1,B1,381340.99,0,regular
78060,C1,C15,C4,C40,A1,B3,452216.6,0,regular
125783,C3,C35,C7,C72,A3,B2,216429.03,15269.8,regular
24081,C6,C63,C1,C11,A2,B1,312573.32,41138,regular
463476,C5,C50,C5,C51,A3,B1,4221107.67,359848,regular
84701,C1,C16,C3,C36,A1,B2,52313.06,37386,regular
451130,C1,C19,C1,C16,A1,B1,841928.73,348929.46,regular
202616,C1,C18,C1,C15,A1,B1,2678260.7,0,regular
466468,C1,C11,C1,C11,A1,B1,787122.49,324382,regular
367444,C4,C45,C6,C62,A2,B2,2357394.75,0,regular
173311,C1,C17,C1,C11,A1,B1,1984124.89,29160,regular
338307,C1,C18,C1,C17,A1,B1,1904980.86,10892,regular
8776,C1,C16,C2,C24,A1,B3,263767.72,0,regular
493209,C1,C11,C4,C41,A1,B3,344979.88,10665,regular
216474,C5,C56,C4,C42,A3,B3,474384.45,16118,regular
389682,C1,C18,C1,C19,A1,B1,405016.77,0,regular
434693,C1,C18,C9,C98,A1,B1,2046140.34,0,regular
450011,C1,C19,C1,C17,A1,B1,1207303.56,0,regular
103818,C1,C17,C7,C70,A1,B2,647476.92,0,regular
332649,C1,C13,C1,C16,A1,B1,965168.26,0,regular
518060,C5,C56,C4,C48,A3,B3,276797.85,15297,regular
370259,C1,C16,C1,C10,A1,B1,795431.38,25426,regular
105109,C1,C16,C1,C18,A1,B1,366957.82,0,regular
480201,C1,C13,C1,C10,A1,B1,369121.23,0,regular
442156,C5,C59,C8,C82,A3,B3,855021.03,77105,regular
160904,C8,C82,C1,C18,A1,B1,1527076.61,117899,regular
247367,C1,C15,C4,C42,A1,B3,216048.13,4591,regular
488814,C4,C48,C8,C80,A2,B3,272931.16,0,regular
327901,C1,C17,C3,C34,A1,B2,1721861.59,33230,regular
532326,C3,C39,C5,C59,A3,B1,183588.2,101523,regular
190632,C1,C18,C2,C21,A1,B3,191687.46,23969.59,regular
465344,C1,C17,C1,C17,A1,B1,3708353.51,421,regular
190816,C1,C12,C1,C10,A1,B1,24729.74,62235,regular
96408,C1,C11,C4,C41,A1,B3,94774.29,21079,regular
143965,C1,C14,C5,C52,A1,B1,857633.53,0,regular
226465,C8,C83,C1,C16,A1,B1,140506.08,0,regular
474364,C1,C17,C1,C15,A1,B1,116957.45,0,regular
330020,C3,C38,C1,C10,A3,B1,2581886.13,21669,regular
353684,C7,C79,C1,C12,A3,B1,1837078.43,65518.88,regular
514886,C1,C17,C1,C19,A1,B1,734566.1,0,regular
36442,C1,C11,C1,C16,A1,B1,194347.55,32298.06,regular
154172,C4,C44,C1,C10,A2,B1,1010671.59,0,regular
421688,C1,C13,C1,C11,A1,B1,736635.23,0,regular
166096,C1,C12,C2,C21,A1,B3,528855.52,0,regular
342330,C1,C13,C1,C14,A1,B1,29642476.68,539407.79,regular
485767,C1,C11,C1,C15,A1,B1,690719.45,0,regular
369431,C3,C31,C6,C69,A3,B2,865076.18,0,regular
472723,C5,C52,C4,C45,A3,B3,628990.51,0,regular
63601,C3,C35,C2,C20,A3,B3,159238.54,16066.57,regular
134250,C2,C21,C1,C12,A1,B1,633597.76,0,regular
158245,C1,C18,C1,C12,A1,B1,368353.39,0,regular
186123,C4,C43,C8,C88,A2,B3,313837.46,0,regular
428511,C1,C16,C1,C19,A1,B1,4112961.01,0,regular
265212,C1,C11,C1,C13,A1,B1,499872.83,0,regular
4429,C9,C91,C2,C20,A2,B3,877093.77,0,regular
502076,C1,C12,C1,C14,A1,B1,2906936.05,0,regular
476705,C1,C15,C5,C57,A1,B1,100664.03,10424,regular
194067,C1,C11,C1,C11,A1,B1,192364.96,0,regular
262733,C1,C12,C5,C53,A1,B1,852670.16,0,regular
249762,C7,C78,C2,C21,A3,B3,1057108.88,5654,regular
153162,C1,C17,C4,C46,A1,B3,303358.27,0,regular
351748,C1,C11,C2,C21,A1,B3,883353.13,11083,regular
490919,C6,C63,C1,C17,A2,B1,381091.92,16720,regular
385060,C5,C55,C4,C44,A3,B3,1196992.36,0,regular
197623,C1,C15,C1,C12,A1,B1,500443.76,0,regular
498389,C1,C18,C1,C12,A1,B1,21439.67,71203.94,regular
73347,C2,C20,C1,C13,A1,B1,938833.94,0,regular
523987,C1,C12,C2,C20,A1,B3,86838.95,0,regular
403714,C1,C18,C1,C19,A1,B1,6696390.15,122,regular
6691,C1,C19,C1,C11,A1,B1,119992.24,0,regular
523752,C8,C83,C9,C97,A1,B1,399060.79,0,regular
384240,C2,C22,C1,C18,A1,B1,410801.46,0,regular
70511,C4,C46,C4,C43,A2,B3,345434.17,0,regular
532527,C2,C21,C2,C23,A1,B3,177788.4,50430,regular
293958,C3,C32,C1,C14,A3,B1,295507.55,134,regular
304182,C1,C18,C7,C78,A1,B2,258683.68,67444,regular
398921,C1,C19,C1,C11,A1,B1,818200.48,0,regular
484746,C1,C18,C2,C21,A1,B3,412833.99,80424,regular
174013,C1,C18,C1,C16,A1,B1,263773.51,0,regular
224836,C1,C19,C2,C26,A1,B3,86747.05,108249,regular
251477,C1,C15,C1,C10,A1,B1,2136431.34,0,regular
742,C6,C61,C1,C15,A2,B1,251157.83,292,regular
488018,C6,C69,C1,C12,A2,B1,287361.69,0,regular
360940,C1,C19,C2,C20,A1,B3,741036.26,0,regular
476437,C1,C19,C1,C19,A1,B1,487778.67,0,regular
518649,C7,C77,C2,C21,A3,B3,42321,0,regular
426107,C5,C57,C4,C49,A3,B3,49539.92,24837.65,regular
405837,C1,C12,C1,C10,A1,B1,1209.98,40807,regular
297667,C1,C16,C1,C14,A1,B1,94401.59,9866.27,regular
339300,C6,C69,C1,C11,A2,B1,1146495.78,390,regular
340553,C6,C68,C1,C14,A2,B1,207196.97,2616,regular
117840,C1,C10,C6,C65,A1,B2,911092.58,0,regular
104836,C8,C83,C1,C11,A1,B1,578910.61,142,regular
172020,C1,C13,C1,C11,A1,B1,1167769.97,847,regular
306645,C1,C14,C4,C46,A1,B3,730463.85,86739,regular
273453,C1,C17,C3,C32,A1,B2,296963.31,21411,regular
16549,C1,C16,C9,C98,A1,B1,826948.69,10973,regular
71301,C1,C16,C1,C14,A1,B1,123551.1,0,regular
250206,C1,C18,C1,C17,A1,B1,145876.07,551658,regular
118514,C7,C79,C1,C17,A3,B1,84487.36,69609,regular
257941,C1,C13,C1,C16,A1,B1,36136.68,22140,regular
478083,C2,C27,C7,C77,A1,B2,636305.26,0,regular
272817,C4,C40,C1,C19,A2,B1,643277.83,9552,regular
155635,C5,C59,C2,C20,A3,B3,977445.83,0,regular
47974,C2,C20,C1,C16,A1,B1,558987.34,1063323.87,regular
385036,C1,C11,C1,C12,A1,B1,103065.93,249102,regular
450917,C1,C10,C1,C19,A1,B1,103854.64,330573.76,regular
207423,C1,C19,C2,C20,A1,B3,786852.22,22519,regular
198813,C7,C74,C8,C82,A3,B3,117705.55,0,regular
184458,C4,C45,C5,C55,A2,B1,1132407.15,117236,regular
157230,C8,C81,C2,C21,A1,B3,266325.14,22316,regular
